bus_id,component_id
sub_cadiz_substation_56,0
tower_0001,0
tower_0003,0
sub_allen_substation_85,6
tower_0004,6
tower_0005,0
tower_0006,0
sub_cebu_city_substation_14,0
sub_compostela_substation_15,0
sub_naga_substation_16,0
tower_0007,0
tower_0008,0
tower_0011,0
sub_tabango_substation_57,0
tower_0012,5
sub_osm_13,5
tower_0013,56
tower_0014,56
tower_0015,56
tower_0016,56
tower_0017,56
tower_0018,56
tower_0019,0
sub_maasin_substation_19,0
tower_0020,0
tower_0021,0
sub_milagro_substation_104,0
tower_0022,0
tower_0023,0
sub_daanbantayan_cable_terminal_27,0
sub_suba_cable_terminal_29,0
tower_0024,56
sub_osm_83,0
sub_magdugo_substation_72,0
sub_national_grid_corporation_of_the_philippines_34,0
tower_0025,0
sub_bio_os_cable_terminal_66,0
sub_paranas_substation_47,0
tower_0026,2
sub_quiot_substation_40,2
tower_0027,58
tower_0028,58
tower_0029,0
tower_0030,0
sub_amlan_substation_33,0
tower_0034,0
tower_0035,0
sub_cabacungan_cable_terminal_36,0
tower_0037,5
tower_0038,5
sub_babatngon_substation_20,0
sub_ubay_substation_54,0
sub_tugas_terminal_submerged_ngcp_lines_58,0
sub_osm_55,0
tower_0040,0
tower_0041,5
tower_0042,5
tower_0043,0
tower_0045,0
sub_maasin_terminal_submerged_lines_59,0
sub_corella_substation_boheco_i_18,0
tower_0046,1
sub_osm_4,1
tower_0047,0
sub_trinidad_substation_73,0
sub_mandugo_substation_62,0
tower_0048,0
tower_0049,0
tower_0050,0
sub_san_jose_substation_116,0
sub_mandaue_gas_insulated_substation_64,0
sub_lapu_lapu_gas_insulated_substation_63,0
tower_0051,0
tower_0052,0
sub_toledo_substation_68,0
tower_0053,0
sub_bagolibas_substation_48,40
tower_0054,0
tower_0055,0
sub_alicia_substation_71,0
tower_0056,0
tower_0057,0
tower_0058,33
tower_0059,33
sub_catbalogan_sub_station_1,7
tower_0060,0
sub_santander_cable_terminal_82,0
tower_0062,59
tower_0063,59
sub_dumanjug_converter_station_100,0
tower_0064,0
tower_0065,0
sub_argao_cable_terminal_117,0
sub_bohol_cable_terminal_89,0
tower_0069,33
tower_0070,0
sub_colon_substation_86,2
sub_mabolo_substation_74,2
tower_0071,2
sub_carreta_substation_70,2
sub_guadalupe_substation_92,2
tower_0072,2
sub_camputhaw_substation_32,2
sub_cbp_substation_91,2
tower_0073,2
tower_0074,2
tower_0075,2
sub_bulacao_substation_93,2
sub_cebeco_iii_8,0
tower_0078,0
tower_0079,0
tower_0080,0
sub_cadiz_substation_96,0
sub_osm_80,0
tower_0081,0
sub_sagay_substation_98,8
sub_ginatilan_substation_102,0
tower_0082,60
tower_0083,60
tower_0084,61
tower_0085,61
tower_0086,57
tower_0087,57
tower_0088,62
tower_0089,62
tower_0090,57
tower_0091,57
tower_0092,57
tower_0093,63
tower_0094,63
tower_0095,0
tower_0096,65
tower_0097,0
