line_id,from_bus,to_bus,voltage_kv,length_km,r_ohm_per_km,x_ohm_per_km,max_i_ka,is_submarine,cable_type,is_synthetic,data_source
line_0000,sub_cadiz_substation_56,tower_0001,138.0,41.66558596286494,0.08,0.4,0.7,False,overhead,False,osm
line_0001,sub_cadiz_substation_56,tower_0001,138.0,41.66558596286494,0.08,0.4,0.7,False,overhead,False,osm
line_0006,sub_allen_substation_85,tower_0004,69.0,19.16802614120085,0.15,0.4,0.5,False,overhead,False,osm
line_0007,sub_allen_substation_85,tower_0004,69.0,19.16802614120085,0.15,0.4,0.5,False,overhead,False,osm
line_0008,tower_0005,tower_0006,69.0,8.716201562445026,0.15,0.4,0.5,False,overhead,False,osm
line_0009,sub_cebu_city_substation_14,sub_compostela_substation_15,138.0,16.604333582089996,0.08,0.4,0.7,False,overhead,False,osm
line_0010,sub_cebu_city_substation_14,sub_colon_substation_67,138.0,23.902082346716313,0.08,0.4,0.7,False,overhead,False,osm
line_0011,sub_cebu_city_substation_14,sub_colon_substation_67,138.0,23.902082346716313,0.08,0.4,0.7,False,overhead,False,osm
line_0012,sub_cebu_city_substation_14,sub_colon_substation_67,138.0,23.902082346716313,0.08,0.4,0.7,False,overhead,False,osm
line_0013,tower_0007,sub_colon_substation_67,138.0,2.0569160022375272,0.08,0.4,0.7,False,overhead,False,osm
line_0014,tower_0008,sub_colon_substation_67,138.0,1.5944347014392093,0.08,0.4,0.7,False,overhead,False,osm
line_0017,tower_0011,sub_tabango_substation_57,230.0,38.09755435477317,0.05,0.4,0.9,False,overhead,False,osm
line_0018,tower_0011,sub_tabango_substation_57,230.0,38.09755435477317,0.05,0.4,0.9,False,overhead,False,osm
line_0019,tower_0012,sub_osm_13,138.0,29.906388814856506,0.08,0.4,0.7,False,overhead,False,osm
line_0020,tower_0013,tower_0014,69.0,25.802196351879836,0.15,0.4,0.5,False,overhead,False,osm
line_0021,tower_0013,tower_0015,69.0,5.869273888115966,0.15,0.4,0.5,False,overhead,False,osm
line_0022,tower_0015,tower_0016,69.0,18.337417326620013,0.15,0.4,0.5,False,overhead,False,osm
line_0023,tower_0015,tower_0016,69.0,18.337417326620013,0.15,0.4,0.5,False,overhead,False,osm
