name,cables,bus0,bus1,s_nom,x,r,region,description
138_08NABAS_08PANITAN,2,08NABAS,08PANITAN,138,14.36439873,10.11510699,Visayas,138 kV 2-circuit transmission line in Western Visayas/Iloilo-Panay
138_08PANITAN_08DINGLE,2,08PANITAN,08DINGLE,138,9.438457417,6.64636289,Visayas,138 kV 2-circuit transmission line in Western Visayas/Iloilo-Panay
138_08DINGLE_08STBARBRA,2,08DINGLE,08STBARBRA,138,3.856380711,2.715582061,Visayas,138 kV 2-circuit transmission line in Western Visayas/Iloilo-Panay
138_08STBARBRA_08SNJOSE,1,08STBARBRA,08SNJOSE,138,3.140077004,2.21117608,Visayas,138 kV single-circuit transmission line in Western Visayas/Iloilo-Panay
138_08STBARBRA_08ILOILO1,2,08STBARBRA,08ILOILO1,138,2.298236382,1.618369647,Visayas,138 kV 2-circuit transmission line in Western Visayas/Iloilo-Panay
69_08STBARBRA_08BANTAP,1,08STBARBRA,08BANTAP,69,5.796053551,0.942697204,Visayas,69 kV single-circuit transmission line in Western Visayas/Iloilo-Panay
69_08BANTAP_08BVISTA,1,08BANTAP,08BVISTA,69,4.047439419,0.658294439,Visayas,69 kV single-circuit transmission line in Western Visayas/Iloilo-Panay
138_08DINGLE_08BAROTAC,1,08DINGLE,08BAROTAC,138,4.478773678,3.153858078,Visayas,138 kV single-circuit transmission line in Western Visayas/Iloilo-Panay
138_08BAROTAC_08CONCEPCION,2,08BAROTAC,08CONCEPCION,138,10.10377881,7.114868196,Visayas,138 kV 2-circuit transmission line in Western Visayas/Iloilo-Panay
230_08BAROTAC_06GAHIT,1,08BAROTAC,06GAHIT,230,1.569939231,3.255386904,Visayas,230 kV single-circuit transmission line in Western Visayas/Iloilo-Panay
230_06GAHIT_06BACOLOD,2,06GAHIT,06BACOLOD,230,2.262751393,4.691984955,Visayas,230 kV 2-circuit transmission line in Western Visayas/Negros
230_06GAHIT_06CADIZ,2,06GAHIT,06CADIZ,230,2.845351892,5.900050844,Visayas,230 kV 2-circuit transmission line in Western Visayas/Negros
138_06CADIZ_06HELIOS,1,06CADIZ,06HELIOS,138,0.279717902,0.196971454,Visayas,138 kV single-circuit transmission line in Western Visayas/Negros
230_06CADIZ_06CALATRAVA,2,06CADIZ,06CALATRAVA,230,3.719970096,7.713637377,Visayas,230 kV 2-circuit transmission line in Western Visayas/Negros
69_06CALATRAVA_06SNCARLOS,2,06CALATRAVA,06SNCARLOS,69,2.465775328,0.401045209,Visayas,69 kV 2-circuit transmission line in Western Visayas/Negros
138_06BACOLOD_06KABANKALAN,2,06BACOLOD,06KABANKALAN,138,13.47234976,9.486944906,Visayas,138 kV 2-circuit transmission line in Western Visayas/Negros
